project_id,project_type,region,date,section,ref,description,unit,quantity,rate,category,amount
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Supply and lay 40mm SMA surface course,m2,514.89,18.18,Road Reinstatement & Surfacing,9360.7
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,Blow in fibre optic cable to existing subduct,m,364.92,5.21,Cabling & Terminations,1901.23
P001-LV,LV Reinforcement,Ulster,2024-01-22,Preliminaries & Site Setup,,Mobilisation and demobilisation of plant to site,item,1.0,2628.07,Preliminaries & Site Setup,2628.07
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,Pull in LV service cable 25mm2 to dwelling inc. duct entry,m,285.7,10.47,Cabling & Terminations,2991.28
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,SUPPLY AND LAY 40MM SMA SURFACE COURSE,m2,975.5,22.98,Road Reinstatement & Surfacing,22416.99
P001-LV,LV Reinforcement,Ulster,2024-01-22,Traffic Management,,Provision of traffic management with two-way portable signals,week,13.0,1914.98,Traffic Management,24894.74
P001-LV,LV Reinforcement,Ulster,2024-01-22,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,377.75,Traffic Management,377.75
P001-LV,LV Reinforcement,Ulster,2024-01-22,Excavation & Earthworks,,Excavate trench in existing carriageway including saw cutting and breaking out,m,255.69,42.97,Excavation & Earthworks,10987.0
P001-LV,LV Reinforcement,Ulster,2024-01-22,Traffic Management,,Provision of traffic management for footpath closure and pedestrian diversion,week,7.0,603.98,Traffic Management,4227.86
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,"Earthing installation including rods, tape and connections",item,1.0,1279.68,Cabling & Terminations,1279.68
P001-LV,LV Reinforcement,Ulster,2024-01-22,Plant & Equipment Supply,,Supply and install 630kVA ground mounted transformer (as drawing),nr,2.0,25697.6,Plant & Equipment Supply,51395.2
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Reinstate road markings to match existing,m,50.69,8.6,Road Reinstatement & Surfacing,435.93
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,"Earthing installation c/w rods, tape and connections",item,1.0,830.89,Cabling & Terminations,830.89
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Permanent reinstatement of carriageway to road opening licence standard,m2,202.97,84.82,Road Reinstatement & Surfacing,17215.92
P001-LV,LV Reinforcement,Ulster,2024-01-22,Plant & Equipment Supply,,SUPPLY & INSTALL 630KVA GROUND MOUNTED TRANSFORMER,nr,2.0,17676.67,Plant & Equipment Supply,35353.34
P002-LV,LV Reinforcement,Dublin,2025-12-29,Road Reinstatement & Surfacing,,Planing of existing bituminous surfacing 40mm,m2,268.84,9.7,Road Reinstatement & Surfacing,2607.75
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and install feeder pillar including connections,nr,1.0,2974.67,Plant & Equipment Supply,2974.67
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,SUPPLY AND LAY 6no. 110mm HDPE duct in prepared trench including bedding,m,269.13,98.74,Ducting & Cable Protection,26573.9
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,1036.01,Traffic Management,1036.01
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Provision of traffic management for footpath closure and pedestrian diversion,week,5.0,937.68,Traffic Management,4688.4
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,S&I 630kVA ground mounted transformer (as drawing),nr,3.0,25305.47,Plant & Equipment Supply,75916.41
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,S&I draw rope to existing duct,m,356.21,1.51,Ducting & Cable Protection,537.88
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Fusion splice fibre optic cable including tray and closure,nr,13.0,61.83,Cabling & Terminations,803.79
P002-LV,LV Reinforcement,Dublin,2025-12-29,Preliminaries & Site Setup,,SITE SUPERVISION - SITE AGENT,week,6.0,2098.66,Preliminaries & Site Setup,12591.96
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,Horizontal directional drill 250mm bore inc. entry and exit pits,m,28.75,319.68,Ducting & Cable Protection,9190.8
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,"Earthing installation inc. rods, tape and connections",item,1.0,3076.34,Cabling & Terminations,3076.34
P002-LV,LV Reinforcement,Dublin,2025-12-29,Preliminaries & Site Setup,,Site supervision - site agent,week,5.0,1909.82,Preliminaries & Site Setup,9549.1
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,Horizontal directional drill 250mm bore incl. entry and exit pits,m,22.59,483.26,Ducting & Cable Protection,10916.84
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Excav. trench in existing carriageway including saw cutting and breaking out,m,230.51,96.93,Excavation & Earthworks,22343.33
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Blow in fibre optic cable to existing subduct,m,1118.58,2.68,Cabling & Terminations,2997.79
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Supply and place imported granular fill Clause 804,m3,25.39,65.53,Excavation & Earthworks,1663.81
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,"EARTHING INSTALLATION INC. RODS, TAPE AND CONNECTIONS",item,1.0,1976.28,Cabling & Terminations,1976.28
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,1079.78,Traffic Management,1079.78
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and erect 10m public lighting column with LED lantern,nr,6.0,2077.64,Plant & Equipment Supply,12465.84
P002-LV,LV Reinforcement,Dublin,2025-12-29,Preliminaries & Site Setup,,"Insurances, bonds and statutory notices",item,1.0,5452.95,Preliminaries & Site Setup,5452.95
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Blow in fibre optic cable to existing subduct,m,923.76,4.9,Cabling & Terminations,4526.42
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,990.94,Traffic Management,990.94
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and erect 6m public lighting column with LED lantern,nr,20.0,1380.27,Plant & Equipment Supply,27605.4
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,ROAD CLOSURE LICENCE AND ADVANCE WARNING SIGNAGE,item,1.0,2252.79,Traffic Management,2252.79
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,Supply and install draw rope to existing duct,m,164.39,2.26,Ducting & Cable Protection,371.52
P002-LV,LV Reinforcement,Dublin,2025-12-29,Road Reinstatement & Surfacing,,Supply and lay precast concrete kerbing c/w haunching,m,48.17,60.26,Road Reinstatement & Surfacing,2902.72
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Disposal of surplus excavated material off site to licensed facility,m3,399.15,29.41,Excavation & Earthworks,11739.0
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and erect 10m public lighting column with LED lantern,nr,4.0,2977.8,Plant & Equipment Supply,11911.2
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,757.27,Traffic Management,757.27
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and erect 10m public lighting column with LED lantern,nr,7.0,2627.5,Plant & Equipment Supply,18392.5
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,584.23,Traffic Management,584.23
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and erect 6m public lighting column with LED lantern,nr,2.0,1364.28,Plant & Equipment Supply,2728.56
P002-LV,LV Reinforcement,Dublin,2025-12-29,Road Reinstatement & Surfacing,,Reinstate road markings to match existing,m,70.65,14.14,Road Reinstatement & Surfacing,998.99
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Supply and place imported granular fill Clause 804,m3,27.6,55.95,Excavation & Earthworks,1544.22
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Excavate trench in existing carriageway including saw cutting and breaking out,m,153.21,100.3,Excavation & Earthworks,15366.96
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,S&I feeder pillar c/w connections,nr,4.0,3154.02,Plant & Equipment Supply,12616.08
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Provision of traffic management with two-way portable signals,week,1.0,2933.52,Traffic Management,2933.52
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Terminate MV cable into switchgear including testing (as drawing),nr,2.0,1518.09,Cabling & Terminations,3036.18
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,Supply and lay 110mm diameter twinwall duct incl. draw rope,m,196.8,18.32,Ducting & Cable Protection,3605.38
P002-LV,LV Reinforcement,Dublin,2025-12-29,Road Reinstatement & Surfacing,,Planing of existing bituminous surfacing 40mm,m2,269.0,8.21,Road Reinstatement & Surfacing,2208.49
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,SUPPLY AND PLACE IMPORTED GRANULAR FILL CLAUSE 804,m3,112.25,51.55,Excavation & Earthworks,5786.49
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Pull in LV service cable 25mm2 to dwelling c/w duct entry,m,118.34,14.58,Cabling & Terminations,1725.4
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Road closure licence and advance warning signage,item,1.0,935.24,Traffic Management,935.24
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,S&L 1no. 110mm HDPE duct in prepared trench including bedding,m,193.25,14.93,Ducting & Cable Protection,2885.22
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,SUPPLY AND PULL IN 95MM2 3 CORE XLPE MV CABLE C/W ALL FIXINGS,m,430.36,33.64,Cabling & Terminations,14477.31
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,846.55,Traffic Management,846.55
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Road closure licence and advance warning signage,item,1.0,1592.17,Traffic Management,1592.17
P002-LV,LV Reinforcement,Dublin,2025-12-29,Road Reinstatement & Surfacing,,Permanent reinstatement of footpath in concrete flags to road opening licence standard,m2,587.21,77.55,Road Reinstatement & Surfacing,45538.14
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Blow in fibre optic cable to existing subduct (as drawing),m,80.75,6.22,Cabling & Terminations,502.26
P002-LV,LV Reinforcement,Dublin,2025-12-29,Testing & Commissioning,,Testing and energisation of MV network including switching,item,1.0,4763.8,Testing & Commissioning,4763.8
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Supply and place imported granular fill Clause 804 (as drawing),m3,38.04,59.86,Excavation & Earthworks,2277.07
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,Concrete surround to ducts C20/25,m3,9.56,215.36,Ducting & Cable Protection,2058.84
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Fusion splice fibre optic cable c/w tray and closure,nr,37.0,36.92,Cabling & Terminations,1366.04
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8) (as drawing),item,1.0,491.65,Traffic Management,491.65
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Supply and pull in 300mm2 3 core XLPE MV cable including all fixings,m,657.09,72.82,Cabling & Terminations,47849.29
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and install feeder pillar incl. connections (as drawing),nr,4.0,3761.24,Plant & Equipment Supply,15044.96
P002-LV,LV Reinforcement,Dublin,2025-12-29,Cabling & Terminations,,Pull in LV service cable 25mm2 to dwelling including duct entry,m,141.31,19.84,Cabling & Terminations,2803.59
P002-LV,LV Reinforcement,Dublin,2025-12-29,Preliminaries & Site Setup,,"Insurances, bonds and statutory notices",item,1.0,5063.9,Preliminaries & Site Setup,5063.9
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,SUPPLY AND INSTALL 315KVA GROUND MOUNTED TRANSFORMER,nr,2.0,11562.55,Plant & Equipment Supply,23125.1
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,S&I feeder pillar including connections,nr,3.0,2462.12,Plant & Equipment Supply,7386.36
P002-LV,LV Reinforcement,Dublin,2025-12-29,Excavation & Earthworks,,Supply and place imported granular fill Clause 804 (as drawing),m3,54.86,68.34,Excavation & Earthworks,3749.13
P002-LV,LV Reinforcement,Dublin,2025-12-29,Plant & Equipment Supply,,Supply and install 630kVA ground mounted transformer,nr,1.0,27844.6,Plant & Equipment Supply,27844.6
P002-LV,LV Reinforcement,Dublin,2025-12-29,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,804.98,Traffic Management,804.98
P002-LV,LV Reinforcement,Dublin,2025-12-29,Road Reinstatement & Surfacing,,Permanent reinstatement of carriageway to road opening licence standard (as drawing),m2,262.92,92.73,Road Reinstatement & Surfacing,24380.57
P002-LV,LV Reinforcement,Dublin,2025-12-29,Ducting & Cable Protection,,Supply and install draw rope to existing duct (as drawing),m,446.57,1.65,Ducting & Cable Protection,736.84
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,Supply and place imported granular fill Clause 804,m3,125.34,55.67,Excavation & Earthworks,6977.68
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Terminate MV cable into switchgear including testing,nr,29.0,1279.91,Cabling & Terminations,37117.39
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Fusion splice fibre optic cable including tray and closure,nr,117.0,49.55,Cabling & Terminations,5797.35
P003-LV,LV Reinforcement,Dublin,2026-03-25,Plant & Equipment Supply,,Supply and install feeder pillar c/w connections,nr,1.0,3227.76,Plant & Equipment Supply,3227.76
P003-LV,LV Reinforcement,Dublin,2026-03-25,Preliminaries & Site Setup,,"INSURANCES, BONDS AND STATUTORY NOTICES",item,1.0,3090.33,Preliminaries & Site Setup,3090.33
P003-LV,LV Reinforcement,Dublin,2026-03-25,Preliminaries & Site Setup,,"Insurances, bonds and statutory notices",item,1.0,2566.56,Preliminaries & Site Setup,2566.56
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,S&L 4no. 110mm HDPE duct in prepared trench including bedding,m,175.98,41.8,Ducting & Cable Protection,7355.96
P003-LV,LV Reinforcement,Dublin,2026-03-25,Traffic Management,,Provision of traffic management including stop/go operatives and signage,week,10.0,1673.49,Traffic Management,16734.9
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,TERMINATE MV CABLE INTO SWITCHGEAR INCL. TESTING,nr,5.0,1640.97,Cabling & Terminations,8204.85
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,EXCAVATION IN ROCK INCLUDING BREAKING AND REMOVAL,m3,34.87,137.9,Excavation & Earthworks,4808.57
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,Supply and install draw rope to existing duct,m,526.98,2.74,Ducting & Cable Protection,1443.93
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,Disposal of surplus excavated material off site to licensed facility,m3,96.25,41.42,Excavation & Earthworks,3986.68
P003-LV,LV Reinforcement,Dublin,2026-03-25,Plant & Equipment Supply,,Supply & install 630kVA ground mounted transformer,nr,2.0,21295.74,Plant & Equipment Supply,42591.48
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Blow in fibre optic cable to existing subduct,m,2084.89,4.78,Cabling & Terminations,9965.77
P003-LV,LV Reinforcement,Dublin,2026-03-25,Road Reinstatement & Surfacing,,Permanent reinstatement of footpath in concrete flags to road opening licence standard,m2,189.09,89.07,Road Reinstatement & Surfacing,16842.25
P003-LV,LV Reinforcement,Dublin,2026-03-25,Plant & Equipment Supply,,Supply and install 400kVA ground mounted transformer,nr,2.0,18739.73,Plant & Equipment Supply,37479.46
P003-LV,LV Reinforcement,Dublin,2026-03-25,Testing & Commissioning,,Testing and energisation of MV network inc. switching,item,1.0,3312.52,Testing & Commissioning,3312.52
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,Concrete surround to ducts C20/25,m3,52.18,196.49,Ducting & Cable Protection,10252.85
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,S&I draw rope to existing duct,m,1081.32,1.59,Ducting & Cable Protection,1719.3
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,Excavate trench 750mm wide x 1.2m deep in soft ground incl. support and backfill,m,378.14,30.4,Excavation & Earthworks,11495.46
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Fusion splice fibre optic cable including tray and closure,nr,43.0,40.07,Cabling & Terminations,1723.01
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,Horizontal directional drill 180mm bore including entry and exit pits,m,33.91,228.95,Ducting & Cable Protection,7763.69
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Straight joint to MV cable,nr,5.0,1161.64,Cabling & Terminations,5808.2
P003-LV,LV Reinforcement,Dublin,2026-03-25,Testing & Commissioning,,Testing and energisation of MV network including switching,item,1.0,2783.73,Testing & Commissioning,2783.73
P003-LV,LV Reinforcement,Dublin,2026-03-25,Road Reinstatement & Surfacing,,Supply and lay 40mm SMA surface course (as drawing),m2,228.64,32.62,Road Reinstatement & Surfacing,7458.24
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,FUSION SPLICE FIBRE OPTIC CABLE INCL. TRAY AND CLOSURE (as drawing),nr,112.0,39.33,Cabling & Terminations,4404.96
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,BLOW IN FIBRE OPTIC CABLE TO EXISTING SUBDUCT,m,2288.65,3.59,Cabling & Terminations,8216.25
P003-LV,LV Reinforcement,Dublin,2026-03-25,Road Reinstatement & Surfacing,,REINSTATE ROAD MARKINGS TO MATCH EXISTING,m,126.66,7.54,Road Reinstatement & Surfacing,955.02
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,SUPPLY AND PULL IN 95MM2 3 CORE XLPE MV CABLE INCLUDING ALL FIXINGS,m,885.82,26.7,Cabling & Terminations,23651.39
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,Excavate trench in existing carriageway including saw cutting and breaking out,m,92.51,57.47,Excavation & Earthworks,5316.55
P003-LV,LV Reinforcement,Dublin,2026-03-25,Road Reinstatement & Surfacing,,Permanent reinstatement of footpath in concrete flags to road opening licence standard,m2,268.05,80.61,Road Reinstatement & Surfacing,21607.51
P003-LV,LV Reinforcement,Dublin,2026-03-25,Preliminaries & Site Setup,,"INSURANCES, BONDS AND STATUTORY NOTICES",item,1.0,3839.4,Preliminaries & Site Setup,3839.4
P003-LV,LV Reinforcement,Dublin,2026-03-25,Traffic Management,,Provision of traffic management with two-way portable signals (as drawing),week,4.0,3061.23,Traffic Management,12244.92
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,Trench support to deep excavation using proprietary shoring,m,82.25,50.33,Excavation & Earthworks,4139.64
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,Horizontal directional drill 250mm bore including entry and exit pits,m,57.12,346.84,Ducting & Cable Protection,19811.5
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,EXC. TRENCH IN EXISTING CARRIAGEWAY INCLUDING SAW CUTTING AND BREAKING OUT,m,479.03,64.28,Excavation & Earthworks,30792.05
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,Supply and lay 1no. 110mm HDPE duct in prepared trench including bedding,m,519.11,16.38,Ducting & Cable Protection,8503.02
P003-LV,LV Reinforcement,Dublin,2026-03-25,Traffic Management,,Road closure licence and advance warning signage,item,1.0,2050.57,Traffic Management,2050.57
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Blow in fibre optic cable to existing subduct,m,2652.43,5.4,Cabling & Terminations,14323.12
P003-LV,LV Reinforcement,Dublin,2026-03-25,Road Reinstatement & Surfacing,,S&L 40MM SMA SURFACE COURSE,m2,313.67,25.98,Road Reinstatement & Surfacing,8149.15
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,SUPPLY AND LAY cable protection tiles and marker tape,m,635.85,5.05,Ducting & Cable Protection,3211.04
P003-LV,LV Reinforcement,Dublin,2026-03-25,Ducting & Cable Protection,,Supply and lay 225mm diameter twinwall duct inc. draw rope,m,1438.89,26.43,Ducting & Cable Protection,38029.86
P003-LV,LV Reinforcement,Dublin,2026-03-25,Preliminaries & Site Setup,,Mobilisation and demobilisation of plant to site,item,1.0,4380.96,Preliminaries & Site Setup,4380.96
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,SUPPLY AND PULL IN 185MM2 3 CORE XLPE MV CABLE INCLUDING ALL FIXINGS,m,168.05,60.19,Cabling & Terminations,10114.93
P003-LV,LV Reinforcement,Dublin,2026-03-25,Preliminaries & Site Setup,,Site supervision - ganger,week,6.0,1141.4,Preliminaries & Site Setup,6848.4
P003-LV,LV Reinforcement,Dublin,2026-03-25,Preliminaries & Site Setup,,"Insurances, bonds and statutory notices",item,1.0,4918.01,Preliminaries & Site Setup,4918.01
P003-LV,LV Reinforcement,Dublin,2026-03-25,Excavation & Earthworks,,Disposal of surplus excavated material off site to licensed facility,m3,679.89,34.39,Excavation & Earthworks,23381.42
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Supply and pull in 95mm2 3 core XLPE MV cable inc. all fixings,m,297.23,38.97,Cabling & Terminations,11583.05
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,"Earthing installation including rods, tape and connections",item,1.0,3315.65,Cabling & Terminations,3315.65
P003-LV,LV Reinforcement,Dublin,2026-03-25,Plant & Equipment Supply,,Supply and install feeder pillar inc. connections,nr,3.0,1893.84,Plant & Equipment Supply,5681.52
P003-LV,LV Reinforcement,Dublin,2026-03-25,Cabling & Terminations,,Supply and pull in 300mm2 3 core XLPE MV cable including all fixings (as drawing),m,544.73,51.46,Cabling & Terminations,28031.81
